sample-id	forward-absolute-filepath	reverse-absolute-filepath
MASK015.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.V1.SKIN_R2.fastq.gz
MASK016.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK016.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK016.v1.throat_R2.fastq.gz
EBLANK006	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK006_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK006_R2.fastq.gz
MASK015.V2.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.V2.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.V2.MASK_R2.fastq.gz
EBLANK008	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK008_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK008_R2.fastq.gz
MASK016.V3.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK016.V3.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK016.V3.SKIN_R2.fastq.gz
MASK017.v2.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.v2.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.v2.throat_R2.fastq.gz
MASK018.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK018.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK018.v1.throat_R2.fastq.gz
MASK010.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.V2.SKIN_R2.fastq.gz
MASK017.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.v3.throat_R2.fastq.gz
POS.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/POS.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/POS.MASK_R2.fastq.gz
MASK003.V2.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.V2.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.V2.MASK_R2.fastq.gz
MASK002.v2.throat.B	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK002.v2.throat.B_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK002.v2.throat.B_R2.fastq.gz
MASK001.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.V1.MASK_R2.fastq.gz
MASK009.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.v1.throat_R2.fastq.gz
MASK010.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.v1.throat_R2.fastq.gz
MASK019.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.v1.throat_R2.fastq.gz
MASK013.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.V2.SKIN_R2.fastq.gz
MASK005.v2.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.v2.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.v2.throat_R2.fastq.gz
MASK016.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK016.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK016.V1.MASK_R2.fastq.gz
MASKBLANK3	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASKBLANK3_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASKBLANK3_R2.fastq.gz
EBLANK003	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK003_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK003_R2.fastq.gz
SKINBLANK004	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/SKINBLANK004_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/SKINBLANK004_R2.fastq.gz
MASK008.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK008.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK008.V3.MASK_R2.fastq.gz
MASK019.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.V2.SKIN_R2.fastq.gz
MASK008.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK008.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK008.V2.SKIN_R2.fastq.gz
MASK001.V2.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.V2.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.V2.MASK_R2.fastq.gz
blankswab.2	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/blankswab.2_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/blankswab.2_R2.fastq.gz
MASK013.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.v3.throat_R2.fastq.gz
MASK014.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK014.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK014.V1.SKIN_R2.fastq.gz
MASK005.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.v3.throat_R2.fastq.gz
MASK012.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.V3.MASK_R2.fastq.gz
MASK004.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.V3.MASK_R2.fastq.gz
MASK012.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.V1.MASK_R2.fastq.gz
DNAfreewater.1	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/DNAfreewater.1_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/DNAfreewater.1_R2.fastq.gz
MASK008.V3.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK008.V3.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK008.V3.SKIN_R2.fastq.gz
MASK011.V2.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V2.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V2.MASK_R2.fastq.gz
MASK009.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.v3.throat_R2.fastq.gz
EBLANK013	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK013_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK013_R2.fastq.gz
MASK011.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V1.MASK_R2.fastq.gz
SBLANK003.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/SBLANK003.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/SBLANK003.throat_R2.fastq.gz
MASK006.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK006.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK006.v3.throat_R2.fastq.gz
MASK001.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.V1.SKIN_R2.fastq.gz
MASK006.V3.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK006.V3.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK006.V3.SKIN_R2.fastq.gz
MASK011.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.v3.throat_R2.fastq.gz
MASK012.V3.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.V3.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.V3.SKIN_R2.fastq.gz
blankswab.1	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/blankswab.1_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/blankswab.1_R2.fastq.gz
MASK017.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.v1.throat_R2.fastq.gz
MASK006.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.V1.MASK_R2.fastq.gz
MASK015.V3.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.V3.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.V3.SKIN_R2.fastq.gz
MASK004.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.V1.SKIN_R2.fastq.gz
MASK004.v2.throat.B	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.v2.throat.B_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.v2.throat.B_R2.fastq.gz
MASK010.v2.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.v2.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.v2.throat_R2.fastq.gz
MASK011.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V2.SKIN_R2.fastq.gz
MASK001.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.v1.throat_R2.fastq.gz
MASK007.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.V2.SKIN_R2.fastq.gz
MASK017.V2.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.V2.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.V2.MASK_R2.fastq.gz
DNAfreewater.2	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/DNAfreewater.2_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/DNAfreewater.2_R2.fastq.gz
EBLANK001	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK001_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK001_R2.fastq.gz
MASK005.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V3.MASK_R2.fastq.gz
MASK017.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.V1.MASK_R2.fastq.gz
MASK015.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.v1.throat_R2.fastq.gz
EBLANK002	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK002_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK002_R2.fastq.gz
MASK002.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK002.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK002.v3.throat_R2.fastq.gz
MASK019.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.V1.SKIN_R2.fastq.gz
MASK009.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.V3.MASK_R2.fastq.gz
MASK010.V2.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.V2.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.V2.MASK_R2.fastq.gz
emptywell.1	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/emptywell.1_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/emptywell.1_R2.fastq.gz
MASK019.V2.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.V2.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.V2.MASK_R2.fastq.gz
MASK012.v3.throat.B	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.v3.throat.B_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.v3.throat.B_R2.fastq.gz
MASK020.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK020.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK020.v3.throat_R2.fastq.gz
MASK003.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.V3.MASK_R2.fastq.gz
MASK014.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK014.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK014.v3.throat_R2.fastq.gz
MASK013.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.V1.MASK_R2.fastq.gz
MASK001.v2.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.v2.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.v2.throat_R2.fastq.gz
SKINBLANK.003	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/SKINBLANK.003_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/SKINBLANK.003_R2.fastq.gz
MASK007.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK006.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK006.V1.SKIN_R2.fastq.gz
MASK017.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK017.V2.SKIN_R2.fastq.gz
MASK005.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V1.SKIN_R2.fastq.gz
MASK014.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK014.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK014.V3.MASK_R2.fastq.gz
MASK001.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.V2.SKIN_R2.fastq.gz
MASK010.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.V1.MASK_R2.fastq.gz
MASK002.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK002.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK002.V1.MASK_R2.fastq.gz
MASK018.v2.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK018.v2.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK018.v2.throat_R2.fastq.gz
MASK015.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK015.V3.MASK_R2.fastq.gz
MASK005.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V1.MASK_R2.fastq.gz
MASK016.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK016.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK016.V2.SKIN_R2.fastq.gz
MASK007.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.v3.throat_R2.fastq.gz
MASK020.V3.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK020.V3.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK020.V3.SKIN_R2.fastq.gz
emptywell.3	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/emptywell.3_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/emptywell.3_R2.fastq.gz
MASK013.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.v1.throat_R2.fastq.gz
